time,humidity,density,windSin,windCos,windGust,windGust2,windGust3,windSpeed,windSpeed2,windSpeed3,power
1/06/2019 01:30,0.79,1.264621529294457,0.777145961456971,-0.6293203910498373,4.65,21.622500000000002,100.54462500000002,3.37,11.356900000000001,38.272753,15.76666667
1/06/2019 02:30,0.75,1.2576793857203588,0.7071067811865476,-0.7071067811865475,4.33,18.7489,81.182737,3.4,11.559999999999999,39.303999999999995,7.791666667
1/06/2019 03:30,0.72,1.252244311037329,0.6427876096865395,-0.7660444431189779,4.25,18.0625,76.765625,3.54,12.531600000000001,44.361864000000004,7.358333332999999
1/06/2019 04:30,0.69,1.2493497132058935,0.5877852522924732,-0.8090169943749473,4.4,19.360000000000003,85.18400000000003,3.82,14.5924,55.74296799999999,9.033333333
1/06/2019 05:30,0.71,1.253124380920059,0.5150380749100544,-0.8571673007021122,4.58,20.9764,96.071912,3.95,15.602500000000001,61.629875000000006,12.80833333
1/06/2019 06:30,0.76,1.2594923184387086,0.45399049973954686,-0.8910065241883678,5.04,25.401600000000002,128.024064,3.86,14.8996,57.51245599999999,18.69166667
1/06/2019 07:30,0.82,1.264953466520402,0.4226182617406995,-0.9063077870366499,5.97,35.640899999999995,212.77617299999997,3.7,13.690000000000001,50.653000000000006,15.81666667
1/06/2019 08:30,0.87,1.2721603052972206,0.40673664307580043,-0.9135454576426008,6.98,48.720400000000005,340.0683920000001,3.52,12.3904,43.614208,20.15833333
1/06/2019 09:30,0.91,1.2766116965677907,0.4226182617406995,-0.9063077870366499,7.91,62.5681,494.913671,3.48,12.1104,42.144192,28.625
1/06/2019 10:30,0.93,1.2793133899703644,0.45399049973954686,-0.8910065241883678,8.79,77.26409999999998,679.1514389999998,3.59,12.8881,46.26827899999999,21.26666667
1/06/2019 11:30,0.92,1.2807437403602997,0.5150380749100544,-0.8571673007021122,9.36,87.60959999999999,820.0258559999999,3.63,13.1769,47.832147,19.0
1/06/2019 12:30,0.91,1.2826563068297276,0.544639035015027,-0.8386705679454242,9.41,88.5481,833.237621,3.51,12.320099999999998,43.24355099999999,17.825
1/06/2019 13:30,0.93,1.2855716934546477,0.5591929034707469,-0.8290375725550416,9.08,82.4464,748.6133120000001,3.31,10.956100000000001,36.264691,18.68333333
1/06/2019 14:30,0.94,1.287840202323741,0.5591929034707469,-0.8290375725550416,8.5,72.25,614.125,3.08,9.4864,29.218112,11.1
1/06/2019 15:30,0.94,1.2892443435242962,0.544639035015027,-0.8386705679454242,7.75,60.0625,465.484375,2.88,8.2944,23.887871999999998,2.05
1/06/2019 16:30,0.93,1.2906096219216363,0.5150380749100544,-0.8571673007021122,6.82,46.51240000000001,317.21456800000004,2.7,7.290000000000001,19.683000000000003,6.666666667
1/06/2019 17:30,0.92,1.2913092768736762,0.45399049973954686,-0.8910065241883678,5.87,34.456900000000005,202.26200300000002,2.53,6.400899999999999,16.194276999999996,10.30833333
1/06/2019 18:30,0.92,1.2929241928762287,0.37460659341591224,-0.9271838545667873,5.18,26.832399999999996,138.991832,2.33,5.4289000000000005,12.649337000000001,3.075
1/06/2019 19:30,0.92,1.2958648926252627,0.3090169943749475,-0.9510565162951535,4.78,22.8484,109.21535200000001,2.11,4.4521,9.393930999999998,5.916666667
1/06/2019 20:30,0.93,1.2982336518031121,0.24192189559966773,-0.9702957262759965,4.66,21.715600000000002,101.19469600000001,1.98,3.9204,7.762392,5.241666667
1/06/2019 21:30,0.93,1.297009599477789,0.19080899537654497,-0.981627183447664,5.17,26.7289,138.188413,2.13,4.536899999999999,9.663597,2.566666667
1/06/2019 22:30,0.92,1.2910468356960443,0.13917310096006574,-0.9902680687415703,6.36,40.449600000000004,257.25945600000006,2.53,6.400899999999999,16.194276999999996,7.275
1/06/2019 23:30,0.91,1.281679020814373,0.27563735581699966,-0.9612616959383187,7.31,53.436099999999996,390.61789099999993,3.08,9.4864,29.218112,17.525
2/06/2019 00:30,0.87,1.2732627901721207,0.29237170472273705,-0.9563047559630354,7.46,55.6516,415.160936,3.57,12.7449,45.499292999999994,24.63333333
2/06/2019 01:30,0.84,1.2673681481218957,0.0348994967025007,-0.9993908270190958,7.06,49.843599999999995,351.89581599999997,3.92,15.366399999999999,60.236287999999995,31.2
2/06/2019 02:30,0.79,1.2612795438309061,-0.2419218955996675,-0.9702957262759965,6.6,43.559999999999995,287.496,4.26,18.147599999999997,77.308776,31.25
