time,humidity,density,windSin,windCos,windGust,windGust2,windGust3,windSpeed,windSpeed2,windSpeed3,power,speedRF,gustRF,huminityRF,densityRF,sinRF,cosRF
9/09/2018 16:30,0.84,1.273581468281395,1.0,6.123233995736766e-17,1.74,3.0276,5.268024,1.32,1.7424000000000002,2.2999680000000002,0.0,1.3240009546279907,1.761757254600525,0.8472679853439331,1.2747493982315063,0.9685069918632508,-0.15376873314380646
9/09/2018 17:30,0.83,1.2739035879848075,0.9563047559630354,0.2923717047227368,1.91,3.6481,6.967870999999999,1.49,2.2201,3.307949,0.0,1.423763871192932,1.9024213552474976,0.794216513633728,1.274104356765747,1.0176385641098022,0.10126969963312148
9/09/2018 18:30,0.82,1.2755472655792115,0.8746197071393957,0.4848096202463371,2.13,4.536899999999998,9.663597,1.67,2.7889,4.657462999999999,0.0,1.5972741842269895,2.144322395324707,0.7794078588485718,1.2726819515228271,0.8347740173339844,0.31572842597961426
9/09/2018 19:30,0.82,1.2794301708075588,0.8191520442889918,0.5735764363510462,2.39,5.7121,13.651919,1.84,3.3856,6.229504,0.0,1.78895103931427,2.391951560974121,0.7684183716773987,1.276073694229126,0.7574518322944641,0.4177966415882111
9/09/2018 20:30,0.81,1.281166391611794,0.766044443118978,0.6427876096865394,2.74,7.507600000000001,20.570824000000005,2.05,4.2025,8.615124999999997,4.266666667,1.9688924551010127,2.6961007118225098,0.7814983129501343,1.2814921140670776,0.7872859239578247,0.5009393095970154
9/09/2018 21:30,0.78,1.2732901477961995,0.6819983600624985,0.7313537016191706,3.28,10.758399999999998,35.28755199999999,2.27,5.1529,11.697083000000001,7.625,2.265941619873047,3.1584439277648926,0.7597789168357849,1.2824162244796753,0.7203930020332336,0.5790879726409912
9/09/2018 22:30,0.72,1.2560384944966696,0.5591929034707469,0.8290375725550416,3.98,15.8404,63.044792,2.47,6.100900000000001,15.069223000000004,10.375,2.509415864944458,3.9296329021453857,0.7024714946746826,1.2584316730499268,0.5785151124000549,0.7110861539840698
9/09/2018 23:30,0.64,1.2376147486442717,0.48480962024633706,0.8746197071393957,4.97,24.7009,122.76347299999998,3.18,10.1124,32.15743200000001,20.025,2.6717734336853027,4.797069549560547,0.6167382597923279,1.2369792461395264,0.38547995686531067,0.8025349974632263
10/09/2018 00:30,0.57,1.2249291776583853,0.3583679495453003,0.9335804264972016,5.48,30.030400000000004,164.56659200000004,3.86,14.8996,57.51245599999999,19.575,4.083139896392821,6.00984525680542,0.5684950947761536,1.2245450019836426,0.3698326051235199,0.8322837948799133
10/09/2018 01:30,0.52,1.2169441272747747,0.017452406437283508,0.9998476951563912,5.09,25.9081,131.87222899999998,3.96,15.6816,62.099136,18.48333333,4.161854267120361,5.636853218078613,0.5342320203781128,1.2121107578277588,0.18983227014541626,0.90129953622818
10/09/2018 02:30,0.48,1.2109885439687262,-0.3090169943749476,0.9510565162951536,4.62,21.3444,98.61112800000001,3.99,15.9201,63.52119900000001,17.075,3.794721364974976,4.800580978393555,0.5047236084938049,1.2104618549346924,-0.225831001996994,0.9651150107383728
10/09/2018 03:30,0.43,1.2064768816992872,-0.4848096202463369,0.8746197071393959,4.5,20.25,91.125,3.94,15.5236,61.162983999999994,11.325,4.046682357788087,4.209517955780029,0.4727018475532532,1.2074356079101562,-0.42184355854988104,0.8662713766098022
10/09/2018 04:30,0.39,1.2031993568257648,-0.544639035015027,0.838670567945424,4.75,22.5625,107.171875,3.8,14.44,54.87199999999999,11.58333333,3.8590178489685063,4.392497539520264,0.4006690979003906,1.2056008577346802,-0.3815918564796448,0.8028190732002258
10/09/2018 05:30,0.38,1.2025065673209103,-0.544639035015027,0.838670567945424,4.9,24.010000000000005,117.64900000000004,3.5,12.25,42.875,12.95833333,3.6454825401306152,4.967719078063965,0.3757191598415375,1.202694296836853,-0.3119562566280365,0.8080064058303833
10/09/2018 06:30,0.38,1.205582180596107,-0.4539904997395471,0.8910065241883678,4.63,21.4369,99.252847,3.2,10.240000000000002,32.76800000000001,13.45833333,3.113156795501709,4.956841468811035,0.3926102817058563,1.2035927772521973,-0.4273091554641724,0.8199213743209839
10/09/2018 07:30,0.4,1.2135220278522774,-0.22495105434386534,0.9743700647852352,4.01,16.080099999999998,64.48120099999998,3.0,9.0,27.0,8.283333333,2.8771631717681885,4.38277006149292,0.3995065987110138,1.2084650993347168,-0.3036564588546753,0.8748829364776611
10/09/2018 08:30,0.43,1.22350576009775,0.052335956242943835,0.9986295347545738,3.43,11.7649,40.353607000000004,2.84,8.0656,22.906303999999995,13.025,2.8033626079559326,3.5124871730804443,0.4314208328723908,1.2198951244354248,0.05947083607316018,0.9332420229911804
10/09/2018 09:30,0.44,1.2316377863683907,0.2419218955996677,0.9702957262759964,3.21,10.3041,33.076161,2.82,7.952399999999999,22.425767999999998,25.59166667,2.6318750381469727,3.1236021518707275,0.4723355770111084,1.2292143106460571,0.3509269952774048,0.9310538172721864
10/09/2018 10:30,0.44,1.237660624746937,0.3583679495453003,0.9335804264972016,3.31,10.9561,36.264691,2.98,8.8804,26.463592,18.00833333,2.802741289138794,3.178744077682495,0.4565298557281494,1.235973834991455,0.5220394134521484,0.9051677584648132
10/09/2018 11:30,0.39,1.2420165468520608,0.40673664307580015,0.9135454576426008,3.63,13.1769,47.832147,2.92,8.526399999999999,24.897088,19.06666667,3.176168203353882,3.5373711585998535,0.428578644990921,1.241543531417847,0.5183307528495789,0.9012784361839294
10/09/2018 12:30,0.35,1.2451799767221727,0.4226182617406993,0.90630778703665,4.5,20.25,91.125,2.92,8.526399999999999,24.897088,31.93333333,2.799257755279541,4.095560073852539,0.36074233055114746,1.2465552091598509,0.4510634243488312,0.9033507704734802
10/09/2018 13:30,0.35,1.2475986511166988,0.40673664307580015,0.9135454576426008,6.04,36.4816,220.348864,3.36,11.289599999999998,37.93305599999999,66.60833333,2.9976136684417725,5.540482044219971,0.3235935270786285,1.2473598718643188,0.4092068374156952,0.9006310105323792
10/09/2018 14:30,0.34,1.2478042781614909,0.374606593415912,0.9271838545667874,7.81,60.99609999999999,476.3795409999999,3.83,14.6689,56.181887,69.14166667,3.945977449417114,7.495833396911621,0.3736833930015564,1.249164581298828,0.33232569694519043,0.9081645607948304
10/09/2018 15:30,0.33,1.247721910099744,0.2923717047227368,0.9563047559630354,9.53,90.8209,865.5231769999997,4.18,17.472399999999997,73.03463199999999,70.375,4.1511855125427255,9.069546699523926,0.3401757776737213,1.2467687129974363,0.268637090921402,0.9148618578910828
10/09/2018 16:30,0.31,1.2459252063689985,0.15643446504023087,0.9876883405951378,11.23,126.1129,1416.2478670000005,4.43,19.6249,86.93830699999998,73.05833333,4.333430767059326,10.757694244384766,0.3190593123435974,1.2485120296478271,0.13017478585243225,0.9389526247978209
10/09/2018 17:30,0.28,1.24329455170409,0.0,1.0,13.0,169.0,2197.0,4.72,22.2784,105.154048,73.4,4.557145118713379,12.462377548217773,0.2908551096916199,1.2443842887878418,-0.005991424899548292,0.9529706835746764
10/09/2018 18:30,0.26,1.2407425712759736,-0.08715574274765832,0.9961946980917455,14.76,217.8576,3215.578176,5.17,26.7289,138.188413,79.76666667,5.077406883239746,14.181846618652344,0.252329558134079,1.241835117340088,-0.09400932490825653,0.9460158944129944
10/09/2018 19:30,0.24,1.2381180424726779,-0.10452846326765344,0.9945218953682732,16.41,269.2881,4419.017721,5.74,32.9476,189.11922400000003,71.85,5.6758809089660645,15.817914009094238,0.2410774528980255,1.2405811548233032,0.010222298093140124,0.940280258655548
10/09/2018 20:30,0.23,1.2341384860630549,-0.08715574274765832,0.9961946980917455,17.79,316.4841,5630.252138999997,6.39,40.8321,260.917119,68.61666667,6.2781128883361825,17.142948150634766,0.2258387207984925,1.2387354373931885,0.06318827718496323,0.947112500667572
10/09/2018 21:30,0.23,1.2277054249298465,-0.10452846326765344,0.9945218953682732,18.5,342.25,6331.625,7.19,51.69610000000001,371.694959,68.34166667,6.911405086517334,18.098848342895508,0.2277427315711975,1.2328150272369385,-0.01829908788204193,0.9497186541557312
10/09/2018 22:30,0.26,1.2189780588552517,-0.13917310096006588,0.9902680687415704,18.47,341.14089999999993,6300.872422999999,8.1,65.61,531.4409999999998,65.20833333,7.779111862182617,18.25867462158203,0.2432284653186798,1.2237980365753174,-0.2000616043806076,0.9453741908073424
10/09/2018 23:30,0.23,1.2080747726098735,-0.1564344650402311,0.9876883405951375,18.85,355.32250000000016,6697.829125000001,9.68,93.7024,907.039232,69.25833333,8.68011474609375,17.74493408203125,0.31093767285346985,1.213903307914734,-0.289998859167099,0.9426549077033995
11/09/2018 00:30,0.18,1.1990760322344216,-0.2419218955996679,0.9702957262759964,19.23,369.7929,7111.117467,10.93,119.4649,1305.751357,76.625,10.72354221343994,18.22060203552246,0.2327362298965454,1.2023036479949951,-0.2891368269920349,0.9434807896614076
11/09/2018 01:30,0.17,1.1932410859073657,-0.4539904997395471,0.8910065241883678,18.78,352.68840000000006,6623.488152000001,11.01,121.2201,1334.6333009999996,81.14166667,11.531367301940918,18.534976959228516,0.1752103865146637,1.19579815864563,-0.4174439013004303,0.9242863059043884
11/09/2018 02:30,0.17,1.188943346742437,-0.5591929034707473,0.8290375725550414,18.16,329.7856,5988.906496000001,10.91,119.0281,1298.596571,77.98333333,10.805294036865234,17.711584091186523,0.1842687726020813,1.1902650594711304,-0.6875351667404175,0.806270956993103
11/09/2018 03:30,0.17,1.1869281157180054,-0.3746065934159124,0.9271838545667872,17.35,301.0225000000001,5222.740375000001,10.83,117.2889,1270.238787,79.625,10.630777359008787,17.081838607788086,0.17759010195732114,1.186846375465393,-0.6283736824989319,0.7719143033027649
11/09/2018 04:30,0.17,1.1867734236891745,-0.9612616959383188,0.2756373558169994,16.32,266.3424,4346.7079680000015,10.73,115.1329,1235.376017,76.99166667,10.518933296203613,16.230804443359375,0.1794111728668213,1.1863160133361816,-0.1236770525574684,0.856323778629303
11/09/2018 05:30,0.2,1.1921253823336309,-0.9205048534524404,-0.3907311284892738,15.38,236.5444,3638.052872000001,10.56,111.5136,1177.5836160000001,79.16666667,10.386469841003418,15.158578872680664,0.17795708775520325,1.1883130073547363,-1.090657114982605,-0.0740533247590065
11/09/2018 06:30,0.3,1.1998951451104185,-0.8191520442889918,0.573576436351046,14.53,211.1209,3067.586677,9.91,98.2081,973.2422710000001,76.725,10.148481369018556,14.378954887390137,0.2421618998050689,1.1982614994049072,-0.908700168132782,-0.19143471121788025
11/09/2018 07:30,0.49,1.2079621071088795,-0.984807753012208,0.17364817766692994,13.58,184.4164,2504.3747120000007,8.62,74.30439999999999,640.5039279999999,35.14166667,9.018228530883787,13.644203186035156,0.4285266995429993,1.2054935693740845,-0.7117270231246948,0.03470765799283981
11/09/2018 08:30,0.7,1.2195809802549478,-0.6819983600624984,-0.7313537016191706,12.86,165.37959999999995,2126.7816559999997,7.38,54.4644,401.947272,65.95833333,7.438054084777832,12.532111167907715,0.668838620185852,1.216395139694214,-0.8937255144119263,-0.14181797206401825
11/09/2018 09:30,0.82,1.2302604853110573,-0.9781476007338056,-0.2079116908177598,12.78,163.3284,2087.336952,6.84,46.7856,320.0135039999999,72.23333333,6.594053268432617,12.161497116088867,0.8142006397247314,1.2259969711303709,-0.4990163743495941,-0.2478043138980865
11/09/2018 10:30,0.87,1.2378505882632826,-0.9563047559630352,-0.2923717047227371,13.36,178.4896,2384.6210559999995,6.94,48.1636,334.25538400000005,73.18333333,6.726165771484375,12.766596794128418,0.8494099974632263,1.2350091934204102,-0.938822865486145,-0.3197856843471527
